symbol,company,sector,yearly_return,volatility,avg_close,avg_volume
ADANIPORTS,ADANI PORTS & SEZ,MISCELLANEOUS,37.62106537530266,2.6028643454512665,1260.5262323943662,4814566.802816901
APOLLOHOSP,APOLLO HOSPITALS,MISCELLANEOUS,34.95169246635987,1.4134574705070777,6191.419894366197,432472.9718309859
ASIANPAINT,ASIAN PAINTS,PAINTS,-21.916553488519003,1.2664679670924879,3019.3827464788733,1214614.3450704226
AXISBANK,AXIS BANK,BANKING,10.376811594202907,1.5624964929158447,1126.4677816901408,9618029.686619718
BAJAJ-AUTO,BAJAJ AUTO,AUTOMOBILES,87.19940769990127,1.7609369939821529,8586.158450704226,502406.588028169
BAJAJFINSV,BAJAJ FINSERV,FINANCE,4.613625224636491,1.4117849543856995,1653.2320422535213,1569381.8943661973
BAJFINANCE,BAJAJ FINANCE,FINANCE,-14.096879498252113,1.5918494897734468,7088.844894366197,1179193.1584507043
BEL,BHARAT ELECTRONICS,DEFENCE,103.66207396664251,2.3283392059875134,233.57112676056337,28472446.580985915
BPCL,BPCL,ENERGY,64.04591104734578,2.2068851102665,285.4819718309859,16170556.644366197
CIPLA,CIPLA,PHARMACEUTICALS,25.548986486486484,1.6332415765760364,1430.2302816901408,1817625.088028169
COALINDIA,COAL INDIA,MINING,39.38730853391685,2.1411449147905555,435.59049295774645,11918318.838028168
DRREDDY,DR. REDDYS LAB,PHARMACEUTICALS,8.687286330523182,1.2490100212885835,1232.324823943662,2062054.764084507
EICHERMOT,EICHER MOTORS,AUTOMOBILES,45.50176544398727,1.6098898407438091,4321.183802816901,635657.5774647887
GRASIM,GRASIM,TEXTILES,35.31393520302428,1.4465113811981585,2354.867957746479,800653.352112676
HCLTECH,HCL TECHNOLOGIES,SOFTWARE,54.02839756592292,1.4294650681131729,1541.2547535211268,2979915.7077464787
HDFCBANK,HDFC BANK,BANKING,14.31565160445317,1.3489800405382277,1578.0330985915493,20048880.492957745
HDFCLIFE,HDFC LIFE INSURANCE,INSURANCE,8.47190479943258,1.463007725858726,642.3647887323943,4379828.309859155
HEROMOTOCO,HERO MOTOCORP,AUTOMOBILES,56.7724002616089,1.6563238026907092,4686.789612676056,732722.8732394367
HINDALCO,HINDALCO,ALUMINIUM,34.982405299109914,1.9586836411430928,608.9975352112675,6997897.316901408
HINDUNILVR,HINDUSTAN UNILEVER,FMCG,-1.7971887550200805,1.2073895796063714,2533.715845070423,1872679.852112676
ICICIBANK,ICICI BANK,BANKING,34.30538041193778,1.278889738810472,1110.0607394366198,14949379.665492957
INDUSINDBK,INDUSIND BANK,BANKING,-30.293296089385475,1.9111193335251304,1442.3605633802817,3947158.9401408453
INFY,INFOSYS,SOFTWARE,32.4640506946137,1.4491913053868204,1629.8769366197182,6755539.116197183
ITC,ITC,FOOD & TOBACCO,7.630385487528339,1.1943702458319614,454.5989436619719,14127310.507042253
JSWSTEEL,JSW STEEL,STEEL,25.857961496362126,1.638393235672221,874.293485915493,2225052.3274647887
KOTAKBANK,KOTAK MAHINDRA BANK,BANKING,1.8179190751445113,1.4215663882255636,1772.9563380281688,5336166.295774648
LT,L&T,ENGINEERING,18.516691333662227,1.6963904150046494,3483.0461267605633,2418356.5035211267
M&M,M&M,AUTOMOBILES,88.63949411470071,1.9212772948786871,2251.245422535211,3093708.2007042253
MARUTI,MARUTI SUZUKI,AUTOMOBILES,3.303516405535128,1.3712493772447973,11631.642429577465,560861.3345070423
NESTLEIND,NESTLE,FOOD & TOBACCO,-0.15062047638723558,1.2516833638236866,2490.1184859154932,932418.3204225352
NTPC,NTPC,POWER,49.560057294863924,1.9475011701296694,346.281338028169,16639937.82746479
ONGC,ONGC,ENERGY,29.741151611199147,2.224731217568338,260.17605633802816,18690706.78169014
POWERGRID,POWER GRID,POWER,69.53459119496854,1.8671442296664325,287.10070422535216,17529094.10915493
RELIANCE,RELIANCE IND.,ENERGY,8.6208228538074,1.3562067130073354,1388.0597535211268,12572108.193661971
SBILIFE,SBI LIFE INSURANCE,INSURANCE,14.05368045156088,1.511342842619644,1528.8788732394366,1349238.2605633803
SBIN,SBI,BANKING,36.78343949044584,1.79393448217402,742.374471830986,17408250.024647888
SHRIRAMFIN,SHRIRAM FINANCE,FINANCE,47.06140350877194,2.168666460862403,2571.638204225352,1420213.38028169
SUNPHARMA,SUN PHARMA,PHARMACEUTICALS,54.827303695399074,1.173282293774823,1527.812676056338,2198935.017605634
TATAMOTORS,TATA MOTORS,AUTOMOBILES,25.03951944356623,1.7876505156417164,896.3350352112676,12091710.926056338
TATASTEEL,TATA STEEL,STEEL,10.682170542635658,1.8231639152358898,149.46517605633804,43942286.72887324
TCS,TCS,SOFTWARE,20.1007300096203,1.3161771587106073,3952.0799295774646,2322424.4929577466
TECHM,TECH MAHINDRA,SOFTWARE,43.16319842700313,1.6019868874918943,1382.7322183098593,2179248.7429577466
TITAN,TITAN,RETAILING,5.0781249999999885,1.413589303863017,3490.9044014084507,1142673.940140845
TRENT,TRENT,RETAILING,220.72506387697052,2.3073798932652143,4670.86073943662,882024.559859155
ULTRACEMCO,ULTRATECH CEMENT,CEMENT,37.233683194595244,1.4314596706888214,10265.760915492958,352559.78169014084
WIPRO,WIPRO,SOFTWARE,40.644605732562425,1.7467886281905278,484.5346830985916,7784437.665492957
